epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,1302.18,1.9591,2.02733,1.1799,0.79124,0.64286,0.71221,0.32408,1.94849,1.40597,1.17266,0.005644,0.005644,0.005644
46,1370.04,1.93781,2.02037,1.21438,0.72515,0.45238,0.57369,0.27462,1.92645,1.64313,1.22016,0.005545,0.005545,0.005545
47,1397.66,1.86864,1.78188,1.1664,0.66712,0.59524,0.64177,0.32721,1.70791,1.45043,1.16451,0.005446,0.005446,0.005446
48,1431.55,1.78319,1.7715,1.19566,0.80473,0.54762,0.62913,0.25149,1.95856,1.51729,1.26127,0.005347,0.005347,0.005347
49,1464.03,1.85424,1.78629,1.23784,0.9186,0.53764,0.68535,0.3109,1.89789,1.48184,1.22666,0.005248,0.005248,0.005248
50,1491.82,1.81458,1.74768,1.15126,0.67372,0.42857,0.53188,0.28022,1.78583,1.77912,1.18767,0.005149,0.005149,0.005149
51,1524.49,1.88892,1.83151,1.22346,0.65285,0.57143,0.64899,0.33163,1.82156,1.42586,1.17953,0.00505,0.00505,0.00505
52,1558.75,1.94404,2.06041,1.18319,0.85225,0.57143,0.68805,0.36183,1.85072,1.67977,1.17675,0.004951,0.004951,0.004951
53,1592.32,1.76045,1.6592,1.13384,0.80929,0.60643,0.66689,0.30788,1.84347,1.55405,1.1871,0.004852,0.004852,0.004852
54,1625.07,1.76285,1.74933,1.15325,0.73477,0.54762,0.6429,0.34495,1.75916,1.47346,1.16426,0.004753,0.004753,0.004753
55,1657.75,1.80643,1.67353,1.19617,0.84122,0.5,0.66821,0.34188,1.73045,1.44366,1.15079,0.004654,0.004654,0.004654
56,1690.51,1.84148,1.68446,1.19182,0.74559,0.66667,0.66433,0.31455,1.78111,1.43634,1.15873,0.004555,0.004555,0.004555
57,1722.8,1.75602,1.69203,1.13281,0.73627,0.5983,0.6377,0.31126,1.87284,1.44001,1.19061,0.004456,0.004456,0.004456
58,1755.97,1.7458,1.59415,1.12947,0.84418,0.54762,0.68716,0.33696,1.74919,1.36709,1.16808,0.004357,0.004357,0.004357
59,1783.46,1.77283,1.68532,1.15349,0.83197,0.58958,0.70461,0.39257,1.56587,1.26389,1.09993,0.004258,0.004258,0.004258
60,1817.31,1.78417,1.66039,1.16101,0.82105,0.64286,0.71925,0.38142,1.67565,1.24448,1.14176,0.004159,0.004159,0.004159
61,1844.87,1.79058,1.80077,1.15481,0.68671,0.52381,0.63102,0.29145,1.8839,1.51508,1.21345,0.00406,0.00406,0.00406
62,1872.21,1.73106,1.57612,1.14759,0.83558,0.66667,0.75599,0.39174,1.74431,1.30795,1.14278,0.003961,0.003961,0.003961
63,1899.76,1.77753,1.62839,1.14714,0.83636,0.57143,0.71803,0.3865,1.70395,1.23091,1.13231,0.003862,0.003862,0.003862
64,1931.76,1.77612,1.52298,1.14117,0.9304,0.52381,0.70046,0.35569,1.55321,1.42601,1.10189,0.003763,0.003763,0.003763
65,1966.77,1.64514,1.49119,1.08818,0.75032,0.64399,0.71312,0.3709,1.66532,1.46433,1.15237,0.003664,0.003664,0.003664
66,1999.61,1.65314,1.45608,1.11257,0.96162,0.64286,0.73839,0.36479,1.74644,1.2975,1.17502,0.003565,0.003565,0.003565
67,2031.41,1.66427,1.42599,1.11864,0.85573,0.42387,0.58376,0.2472,1.89755,1.78331,1.23119,0.003466,0.003466,0.003466
68,2063.84,1.65995,1.46657,1.12541,0.82013,0.65152,0.74477,0.39124,1.71305,1.19991,1.13759,0.003367,0.003367,0.003367
